,yardline_100,down,goal_to_go,yards_gained,play_type,success,epa,n_defense_box,n_blitzers
0,78.0,1.0,0,19.0,run,1.0,1.4688193,6,0
2,59.0,2.0,0,5.0,run,0.0,-0.32593125,6,0
7,64.0,3.0,0,4.0,run,1.0,0.89505523,5,0
8,60.0,1.0,0,0.0,run,0.0,-0.52927417,7,0
10,52.0,3.0,0,1.0,run,0.0,-1.8665719,7,0
12,89.0,1.0,0,-2.0,run,0.0,-1.0588223,5,0
15,83.0,1.0,0,1.0,run,0.0,-0.6029297,5,0
16,82.0,2.0,0,0.0,run,0.0,-0.7522883,6,0
20,66.0,2.0,0,1.0,run,0.0,-0.8267796,6,0
24,59.0,1.0,0,1.0,run,0.0,-0.7424759,6,0
26,13.0,1.0,0,-1.0,run,0.0,-0.80613065,6,0
36,71.0,2.0,0,3.0,run,0.0,-0.36901996,5,0
41,45.0,1.0,0,4.0,run,0.0,-0.20114821,5,0
43,33.0,1.0,0,0.0,run,0.0,-0.41267243,5,0
53,89.0,1.0,0,14.0,run,1.0,0.95274013,5,0
64,75.0,1.0,0,5.0,run,1.0,0.10700868,4,0
65,70.0,2.0,0,22.0,run,1.0,1.4016973,4,0
68,32.0,1.0,0,5.0,run,0.0,-0.28943986,4,0
69,27.0,2.0,0,0.0,run,0.0,-1.6150637,4,0
72,75.0,1.0,0,3.0,run,0.0,-0.12899211,6,0
73,75.0,1.0,0,2.0,run,0.0,-0.46415755,5,0
75,73.0,3.0,0,8.0,run,1.0,1.837931,6,2
76,65.0,1.0,0,1.0,run,0.0,-0.31937277,5,0
85,29.0,1.0,0,6.0,run,1.0,0.31855562,5,0
86,23.0,2.0,0,6.0,run,1.0,0.46635827,6,0
87,17.0,1.0,0,-1.0,run,0.0,-0.8191051,6,0
88,18.0,2.0,0,1.0,run,0.0,-0.3672305,6,0
90,75.0,1.0,0,1.0,run,0.0,-0.56337214,6,0
93,69.0,1.0,0,2.0,run,0.0,-0.39807114,5,0
94,67.0,2.0,0,6.0,run,1.0,0.26285726,6,0
99,73.0,1.0,0,8.0,run,1.0,0.5086731,6,0
100,65.0,2.0,0,10.0,run,1.0,0.6893798,7,0
111,85.0,1.0,0,8.0,run,1.0,0.56864905,6,0
115,66.0,1.0,0,4.0,run,0.0,-0.11782154,7,0
125,28.0,3.0,0,0.0,run,0.0,-1.2306267,6,0
138,90.0,2.0,0,1.0,run,0.0,-0.1020467,7,0
156,69.0,2.0,0,7.0,run,1.0,0.59025246,6,0
157,62.0,1.0,0,7.0,run,1.0,0.44964486,7,0
159,49.0,1.0,0,2.0,run,0.0,-0.43464538,6,0
161,35.0,1.0,0,1.0,run,0.0,-0.5903657,6,0
164,83.0,1.0,0,5.0,run,0.0,-0.1901163,7,0
166,83.0,2.0,0,2.0,run,0.0,-0.7243072,6,0
168,58.0,1.0,0,1.0,run,0.0,-0.45669183,6,0
174,91.0,1.0,0,7.0,run,1.0,0.30771738,7,0
182,76.0,1.0,0,0.0,run,0.0,-0.6274053,7,0
187,66.0,2.0,0,2.0,run,0.0,-4.825235,6,0
188,36.0,1.0,0,0.0,run,0.0,-0.532398,6,0
191,63.0,2.0,0,3.0,run,0.0,-0.20586164,6,0
198,60.0,1.0,0,4.0,run,0.0,-0.100456625,7,0
201,44.0,1.0,0,3.0,run,1.0,0.52752036,6,0
206,25.0,1.0,0,18.0,run,1.0,1.2516109,6,0
207,7.0,1.0,1,3.0,run,1.0,0.09554768,6,0
209,75.0,1.0,0,2.0,run,0.0,-0.41496643,6,0
218,31.0,2.0,0,0.0,run,0.0,-0.4701225,6,0
219,31.0,3.0,0,2.0,run,1.0,0.1588079,7,0
223,89.0,1.0,0,2.0,run,0.0,-0.5500896,7,0
227,58.0,1.0,0,12.0,run,1.0,0.86327815,6,0
228,46.0,1.0,0,1.0,run,0.0,-0.5460099,6,0
229,45.0,2.0,0,7.0,run,1.0,0.14812146,5,0
231,43.0,3.0,0,8.0,run,1.0,2.0284193,4,1
232,35.0,1.0,0,13.0,run,1.0,0.9960349,7,0
239,42.0,1.0,0,1.0,run,0.0,-0.47975615,6,0
244,94.0,1.0,0,8.0,run,1.0,0.618948,7,1
245,86.0,2.0,0,8.0,run,1.0,0.98448426,7,0
246,78.0,1.0,0,0.0,run,0.0,-0.6322617,7,0
248,67.0,1.0,0,1.0,run,0.0,-0.5601842,7,0
252,56.0,2.0,0,3.0,run,0.0,-0.60049534,5,0
254,6.0,1.0,1,2.0,run,0.0,-0.13719423,6,0
256,4.0,3.0,1,4.0,run,1.0,2.4352927,5,0
258,68.0,1.0,0,0.0,run,0.0,-0.5794957,6,0
263,58.0,2.0,0,5.0,run,0.0,-0.022541314,5,0
269,67.0,4.0,0,1.0,run,1.0,2.1582108,8,0
273,37.0,1.0,0,13.0,run,1.0,0.8067279,7,0
274,24.0,1.0,0,4.0,run,0.0,-0.18660939,7,0
275,20.0,2.0,0,2.0,run,0.0,-4.7242007,7,0
276,82.0,1.0,0,9.0,run,1.0,0.7276361,5,0
277,73.0,2.0,0,-1.0,run,0.0,-0.86936355,6,0
287,18.0,2.0,0,2.0,run,0.0,-0.6072361,7,0
295,65.0,1.0,0,11.0,run,1.0,0.90659904,6,0
297,52.0,2.0,0,5.0,run,0.0,-0.38645315,7,0
298,47.0,3.0,0,4.0,run,1.0,1.0901428,6,0
300,37.0,2.0,0,1.0,run,0.0,-0.6235091,6,0
303,64.0,1.0,0,4.0,run,0.0,-0.21415189,7,0
305,70.0,2.0,0,3.0,run,0.0,-0.61442715,7,0
306,67.0,3.0,0,0.0,run,0.0,-1.2105204,6,0
309,75.0,1.0,0,0.0,run,0.0,-0.62004745,6,0
312,55.0,1.0,0,2.0,run,0.0,-0.30980918,6,0
313,53.0,2.0,0,4.0,run,0.0,-0.26946032,7,0
314,49.0,3.0,0,6.0,run,1.0,1.3872995,6,0
327,56.0,1.0,0,2.0,run,0.0,-0.36451963,8,0
332,84.0,2.0,0,4.0,run,1.0,0.13455553,6,0
336,42.0,1.0,0,2.0,run,0.0,-0.35547763,6,0
337,40.0,2.0,0,5.0,run,1.0,0.17153998,6,0
347,62.0,1.0,0,8.0,run,1.0,0.61166507,6,0
349,54.0,3.0,0,25.0,run,1.0,2.1754537,5,0
350,29.0,1.0,0,5.0,run,1.0,0.13990138,7,0
351,24.0,2.0,0,24.0,run,1.0,3.1810892,6,0
357,1.0,2.0,1,1.0,run,1.0,0.99131626,8,0
359,60.0,2.0,0,2.0,run,0.0,-0.24077147,6,0
362,24.0,1.0,0,6.0,run,1.0,0.56842464,6,0
363,18.0,2.0,0,9.0,run,1.0,0.39135614,6,0
365,9.0,2.0,1,1.0,run,0.0,-0.4431482,7,0
371,74.0,2.0,0,3.0,run,0.0,-0.3409743,6,0
373,61.0,1.0,0,5.0,run,1.0,0.11856412,6,0
374,56.0,2.0,0,3.0,run,0.0,-0.22200705,7,0
376,52.0,4.0,0,2.0,run,1.0,2.3804035,7,0
377,50.0,1.0,0,15.0,run,1.0,0.9644595,6,0
378,35.0,1.0,0,20.0,run,1.0,1.3584111,8,0
379,15.0,1.0,0,4.0,run,0.0,-0.21937299,7,0
381,16.0,2.0,0,0.0,run,0.0,-0.6985148,7,0
